time ms,free,max,total
140,4220208,66387968,5177344
1797,3751800,66387968,5177344
2828,3132128,66387968,5177344
3859,3694416,66387968,5177344
10312,3419184,66387968,5177344
11312,3288480,66387968,5177344
12312,3721056,66387968,5177344
13312,3549640,66387968,5177344
14312,3802848,66387968,5177344
15312,3306336,66387968,5177344
16312,3331336,66387968,5177344
17312,3827400,66387968,5177344
18312,3865056,66387968,5177344
19312,3317480,66387968,5177344
20312,3096000,66387968,5177344
26328,3308560,66387968,5177344
27328,3603712,66387968,5177344
28328,3450736,66387968,5177344
29328,3528832,66387968,5177344
30328,3615496,66387968,5177344
31328,3100632,66387968,5177344
32328,3072120,66387968,5177344
33328,3284544,66387968,5177344
34328,3434712,66387968,5177344
35328,3290336,66387968,5177344
36328,3493400,66387968,5177344
42328,3752856,66387968,5177344
43328,3251952,66387968,5177344
44328,3013848,66387968,5177344
45328,3273416,66387968,5177344
46328,3618392,66387968,5177344
47328,3107960,66387968,5177344
48328,3231984,66387968,5177344
49328,3551264,66387968,5177344
50328,3680352,66387968,5177344
51328,2925376,66387968,5177344
